Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 0.8432508111000061, Validation Accuracy: 0.6669470142977292
Epoch 2, Loss: 0.8192775249481201, Validation Accuracy: 0.7321278385197645
Epoch 3, Loss: 0.8293743133544922, Validation Accuracy: 0.6816652649285113
Epoch 4, Loss: 0.7797614932060242, Validation Accuracy: 0.7539949537426409
Epoch 5, Loss: 0.6626921892166138, Validation Accuracy: 0.7531539108494533
Epoch 6, Loss: 0.49784010648727417, Validation Accuracy: 0.8145500420521447
Epoch 7, Loss: 0.5235741138458252, Validation Accuracy: 0.6534903280067283
Epoch 8, Loss: 0.530855655670166, Validation Accuracy: 0.7783851976450799
Epoch 9, Loss: 0.6158350706100464, Validation Accuracy: 0.8225399495374264
Epoch 10, Loss: 0.512326717376709, Validation Accuracy: 0.8494533221194281
Epoch 11, Loss: 0.4616124629974365, Validation Accuracy: 0.8406223717409588
Epoch 12, Loss: 0.44185671210289, Validation Accuracy: 0.8502943650126157
Epoch 13, Loss: 0.3831857144832611, Validation Accuracy: 0.8225399495374264
Epoch 14, Loss: 0.36821404099464417, Validation Accuracy: 0.8582842724978974
Epoch 15, Loss: 0.39967918395996094, Validation Accuracy: 0.8788898233809924
Epoch 16, Loss: 0.4027474522590637, Validation Accuracy: 0.8725820016820858
Epoch 17, Loss: 0.37410789728164673, Validation Accuracy: 0.87973086627418
Epoch 18, Loss: 0.36944204568862915, Validation Accuracy: 0.8818334735071489
Epoch 19, Loss: 0.35710474848747253, Validation Accuracy: 0.8805719091673675
Epoch 20, Loss: 0.36503466963768005, Validation Accuracy: 0.8847771236333053
Epoch 21, Loss: 0.35767656564712524, Validation Accuracy: 0.8793103448275862
Epoch 22, Loss: 0.3607117533683777, Validation Accuracy: 0.8877207737594617
Epoch 23, Loss: 0.37016966938972473, Validation Accuracy: 0.8788898233809924
Epoch 24, Loss: 0.3613733649253845, Validation Accuracy: 0.8860386879730866
Epoch 25, Loss: 0.40863773226737976, Validation Accuracy: 0.872161480235492
Epoch 26, Loss: 0.35531020164489746, Validation Accuracy: 0.8742640874684608
Epoch 27, Loss: 0.36776190996170044, Validation Accuracy: 0.8839360807401178
Epoch 28, Loss: 0.3617554306983948, Validation Accuracy: 0.8809924306139613
Epoch 29, Loss: 0.35720643401145935, Validation Accuracy: 0.8801513877207737
Epoch 30, Loss: 0.3537864685058594, Validation Accuracy: 0.8776282590412111
Epoch 31, Loss: 0.38348156213760376, Validation Accuracy: 0.8868797308662741
Epoch 32, Loss: 0.3534570336341858, Validation Accuracy: 0.8767872161480236
Epoch 33, Loss: 0.352496862411499, Validation Accuracy: 0.8864592094196804
Epoch 34, Loss: 0.35413700342178345, Validation Accuracy: 0.8755256518082423
Epoch 35, Loss: 0.3613647222518921, Validation Accuracy: 0.8830950378469302
Epoch 36, Loss: 0.4027697741985321, Validation Accuracy: 0.8885618166526493
Epoch 37, Loss: 0.35241052508354187, Validation Accuracy: 0.8751051303616485
Epoch 38, Loss: 0.38650014996528625, Validation Accuracy: 0.8776282590412111
Epoch 39, Loss: 0.3559249937534332, Validation Accuracy: 0.8847771236333053
Epoch 40, Loss: 0.3893800377845764, Validation Accuracy: 0.8742640874684608
Epoch 41, Loss: 0.3957515060901642, Validation Accuracy: 0.8847771236333053
Epoch 42, Loss: 0.3524691164493561, Validation Accuracy: 0.8801513877207737
Epoch 43, Loss: 0.3840649127960205, Validation Accuracy: 0.8847771236333053
Epoch 44, Loss: 0.369828462600708, Validation Accuracy: 0.8805719091673675
Epoch 45, Loss: 0.35204169154167175, Validation Accuracy: 0.883515559293524
Epoch 46, Loss: 0.35417231917381287, Validation Accuracy: 0.8860386879730866
Epoch 47, Loss: 0.35380879044532776, Validation Accuracy: 0.8885618166526493
Epoch 48, Loss: 0.38940924406051636, Validation Accuracy: 0.8885618166526493
Epoch 49, Loss: 0.35138124227523804, Validation Accuracy: 0.8814129520605551
Epoch 50, Loss: 0.36820387840270996, Validation Accuracy: 0.8772077375946173
Epoch 51, Loss: 0.3562687933444977, Validation Accuracy: 0.8851976450798991
Epoch 52, Loss: 0.3690192401409149, Validation Accuracy: 0.8889823380992431
Epoch 53, Loss: 0.3726431727409363, Validation Accuracy: 0.8860386879730866
Epoch 54, Loss: 0.35462072491645813, Validation Accuracy: 0.8780487804878049
Epoch 55, Loss: 0.3579014539718628, Validation Accuracy: 0.8856181665264928
Epoch 56, Loss: 0.3569968640804291, Validation Accuracy: 0.8809924306139613
Epoch 57, Loss: 0.3775043487548828, Validation Accuracy: 0.8818334735071489
Epoch 58, Loss: 0.35230961441993713, Validation Accuracy: 0.8873002523128679
Epoch 59, Loss: 0.35126227140426636, Validation Accuracy: 0.8830950378469302
Epoch 60, Loss: 0.37249892950057983, Validation Accuracy: 0.8843566021867115
Epoch 61, Loss: 0.35300567746162415, Validation Accuracy: 0.8822539949537427
Epoch 62, Loss: 0.3525732755661011, Validation Accuracy: 0.8851976450798991
Epoch 63, Loss: 0.35250797867774963, Validation Accuracy: 0.8822539949537427
Epoch 64, Loss: 0.3566206395626068, Validation Accuracy: 0.883515559293524
Epoch 65, Loss: 0.363222599029541, Validation Accuracy: 0.8864592094196804
Epoch 66, Loss: 0.34962552785873413, Validation Accuracy: 0.8826745164003365
Epoch 67, Loss: 0.3556821644306183, Validation Accuracy: 0.8864592094196804
Epoch 68, Loss: 0.3569755256175995, Validation Accuracy: 0.8814129520605551
Epoch 69, Loss: 0.35031476616859436, Validation Accuracy: 0.8856181665264928
Epoch 70, Loss: 0.37053409218788147, Validation Accuracy: 0.8877207737594617
Epoch 71, Loss: 0.3569801449775696, Validation Accuracy: 0.8860386879730866
Epoch 72, Loss: 0.3522670269012451, Validation Accuracy: 0.8902439024390244
Epoch 73, Loss: 0.3581486642360687, Validation Accuracy: 0.883515559293524
Epoch 74, Loss: 0.35357534885406494, Validation Accuracy: 0.8873002523128679
Epoch 75, Loss: 0.3514421582221985, Validation Accuracy: 0.8851976450798991
Epoch 76, Loss: 0.3518192768096924, Validation Accuracy: 0.8877207737594617
Epoch 77, Loss: 0.36433398723602295, Validation Accuracy: 0.8868797308662741
Epoch 78, Loss: 0.3505573570728302, Validation Accuracy: 0.8860386879730866
Epoch 79, Loss: 0.35124102234840393, Validation Accuracy: 0.8881412952060556
Epoch 80, Loss: 0.35890620946884155, Validation Accuracy: 0.8860386879730866
Epoch 81, Loss: 0.35202908515930176, Validation Accuracy: 0.8856181665264928
Epoch 82, Loss: 0.36532601714134216, Validation Accuracy: 0.8860386879730866
Epoch 83, Loss: 0.37806278467178345, Validation Accuracy: 0.8864592094196804
Epoch 84, Loss: 0.3568482995033264, Validation Accuracy: 0.8864592094196804
Epoch 85, Loss: 0.373982310295105, Validation Accuracy: 0.8864592094196804
Epoch 86, Loss: 0.36584898829460144, Validation Accuracy: 0.8864592094196804
Epoch 87, Loss: 0.35226893424987793, Validation Accuracy: 0.8860386879730866
Epoch 88, Loss: 0.3502763509750366, Validation Accuracy: 0.8856181665264928
Epoch 89, Loss: 0.3505111336708069, Validation Accuracy: 0.8847771236333053
Epoch 90, Loss: 0.35116440057754517, Validation Accuracy: 0.8851976450798991
Epoch 91, Loss: 0.3537082374095917, Validation Accuracy: 0.8851976450798991
Epoch 92, Loss: 0.36632245779037476, Validation Accuracy: 0.8847771236333053
Epoch 93, Loss: 0.35235458612442017, Validation Accuracy: 0.8873002523128679
Epoch 94, Loss: 0.3840385675430298, Validation Accuracy: 0.8851976450798991
Epoch 95, Loss: 0.3667539954185486, Validation Accuracy: 0.8868797308662741
Epoch 96, Loss: 0.35403531789779663, Validation Accuracy: 0.8847771236333053
Epoch 97, Loss: 0.36562687158584595, Validation Accuracy: 0.8868797308662741
Epoch 98, Loss: 0.35272878408432007, Validation Accuracy: 0.8864592094196804
Epoch 99, Loss: 0.35417309403419495, Validation Accuracy: 0.8843566021867115
Epoch 100, Loss: 0.3682023882865906, Validation Accuracy: 0.8847771236333053
Model state dictionary saved.
Test predictions saved as CSV.
