Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 0.9147933721542358, Validation Accuracy: 0.556349873843566
Epoch 2, Loss: 0.8067793250083923, Validation Accuracy: 0.6749369217830109
Epoch 3, Loss: 0.6846440434455872, Validation Accuracy: 0.6576955424726662
Epoch 4, Loss: 0.8477416038513184, Validation Accuracy: 0.6909167367535745
Epoch 5, Loss: 0.8156040906906128, Validation Accuracy: 0.6677880571909167
Epoch 6, Loss: 0.642493724822998, Validation Accuracy: 0.7628259041211102
Epoch 7, Loss: 0.6354719400405884, Validation Accuracy: 0.7905803195962994
Epoch 8, Loss: 0.45531874895095825, Validation Accuracy: 0.8191757779646762
Epoch 9, Loss: 0.5318132042884827, Validation Accuracy: 0.6518082422203533
Epoch 10, Loss: 0.46956342458724976, Validation Accuracy: 0.8305298570227082
Epoch 11, Loss: 0.4292595386505127, Validation Accuracy: 0.8229604709840201
Epoch 12, Loss: 0.43829232454299927, Validation Accuracy: 0.8679562657695542
Epoch 13, Loss: 0.4219026267528534, Validation Accuracy: 0.8637510513036165
Epoch 14, Loss: 0.39740991592407227, Validation Accuracy: 0.8566021867115223
Epoch 15, Loss: 0.38065239787101746, Validation Accuracy: 0.862910008410429
Epoch 16, Loss: 0.3764793872833252, Validation Accuracy: 0.8582842724978974
Epoch 17, Loss: 0.37284761667251587, Validation Accuracy: 0.8713204373423045
Epoch 18, Loss: 0.37944766879081726, Validation Accuracy: 0.8418839360807401
Epoch 19, Loss: 0.3639592230319977, Validation Accuracy: 0.8767872161480236
Epoch 20, Loss: 0.4120977520942688, Validation Accuracy: 0.8860386879730866
Epoch 21, Loss: 0.3719894587993622, Validation Accuracy: 0.8788898233809924
Epoch 22, Loss: 0.3831019401550293, Validation Accuracy: 0.8582842724978974
Epoch 23, Loss: 0.3570235073566437, Validation Accuracy: 0.872161480235492
Epoch 24, Loss: 0.36984747648239136, Validation Accuracy: 0.8612279226240538
Epoch 25, Loss: 0.40697434544563293, Validation Accuracy: 0.8784693019343986
Epoch 26, Loss: 0.35508784651756287, Validation Accuracy: 0.8755256518082423
Epoch 27, Loss: 0.4165550470352173, Validation Accuracy: 0.8772077375946173
Epoch 28, Loss: 0.42613711953163147, Validation Accuracy: 0.8856181665264928
Epoch 29, Loss: 0.3983510732650757, Validation Accuracy: 0.8793103448275862
Epoch 30, Loss: 0.37993335723876953, Validation Accuracy: 0.8801513877207737
Epoch 31, Loss: 0.3588527739048004, Validation Accuracy: 0.8818334735071489
Epoch 32, Loss: 0.37938192486763, Validation Accuracy: 0.8826745164003365
Epoch 33, Loss: 0.3549060821533203, Validation Accuracy: 0.8713204373423045
Epoch 34, Loss: 0.3616666793823242, Validation Accuracy: 0.8793103448275862
Epoch 35, Loss: 0.36731383204460144, Validation Accuracy: 0.8801513877207737
Epoch 36, Loss: 0.35099783539772034, Validation Accuracy: 0.883515559293524
Epoch 37, Loss: 0.39684319496154785, Validation Accuracy: 0.8839360807401178
Epoch 38, Loss: 0.3522385358810425, Validation Accuracy: 0.8738435660218671
Epoch 39, Loss: 0.3646509349346161, Validation Accuracy: 0.8746846089150546
Epoch 40, Loss: 0.3572607636451721, Validation Accuracy: 0.8826745164003365
Epoch 41, Loss: 0.35474342107772827, Validation Accuracy: 0.8801513877207737
Epoch 42, Loss: 0.3540531098842621, Validation Accuracy: 0.8776282590412111
Epoch 43, Loss: 0.3830578923225403, Validation Accuracy: 0.8658536585365854
Epoch 44, Loss: 0.36129721999168396, Validation Accuracy: 0.8788898233809924
Epoch 45, Loss: 0.3713849186897278, Validation Accuracy: 0.8788898233809924
Epoch 46, Loss: 0.3543424904346466, Validation Accuracy: 0.8755256518082423
Epoch 47, Loss: 0.3585565984249115, Validation Accuracy: 0.8776282590412111
Epoch 48, Loss: 0.38215500116348267, Validation Accuracy: 0.8780487804878049
Epoch 49, Loss: 0.35508325695991516, Validation Accuracy: 0.8826745164003365
Epoch 50, Loss: 0.3684273064136505, Validation Accuracy: 0.8793103448275862
Epoch 51, Loss: 0.3734484910964966, Validation Accuracy: 0.8805719091673675
Epoch 52, Loss: 0.35213586688041687, Validation Accuracy: 0.8776282590412111
Epoch 53, Loss: 0.3597496449947357, Validation Accuracy: 0.8814129520605551
Epoch 54, Loss: 0.3520016670227051, Validation Accuracy: 0.8809924306139613
Epoch 55, Loss: 0.36769139766693115, Validation Accuracy: 0.8767872161480236
Epoch 56, Loss: 0.35670924186706543, Validation Accuracy: 0.872161480235492
Epoch 57, Loss: 0.3534449338912964, Validation Accuracy: 0.8738435660218671
Epoch 58, Loss: 0.3733937442302704, Validation Accuracy: 0.8793103448275862
Epoch 59, Loss: 0.3906271457672119, Validation Accuracy: 0.8776282590412111
Epoch 60, Loss: 0.41450628638267517, Validation Accuracy: 0.8755256518082423
