
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.3170554637908936, Validation Accuracy: 0.4873843566021867
Epoch 2, Loss: 0.9910279512405396, Validation Accuracy: 0.6257359125315392
Epoch 3, Loss: 1.0975971221923828, Validation Accuracy: 0.6581160639192599
Epoch 4, Loss: 0.8378134369850159, Validation Accuracy: 0.5222876366694701
Epoch 5, Loss: 1.1300504207611084, Validation Accuracy: 0.7157275021026073
Epoch 6, Loss: 0.8262314200401306, Validation Accuracy: 0.7359125315391085
Epoch 7, Loss: 0.8385931849479675, Validation Accuracy: 0.7001682085786375
Epoch 8, Loss: 0.9151501655578613, Validation Accuracy: 0.571488645920942
Epoch 9, Loss: 0.7696657180786133, Validation Accuracy: 0.7354920100925147
Epoch 10, Loss: 0.847527801990509, Validation Accuracy: 0.7943650126156434
Epoch 11, Loss: 0.6896939277648926, Validation Accuracy: 0.7144659377628259
Epoch 12, Loss: 0.619795560836792, Validation Accuracy: 0.5967199327165685
Epoch 13, Loss: 0.5197231769561768, Validation Accuracy: 0.7901597981497056
Epoch 14, Loss: 0.6190494298934937, Validation Accuracy: 0.8162321278385197
Epoch 15, Loss: 0.566386342048645, Validation Accuracy: 0.7527333894028595
Epoch 16, Loss: 0.6269630193710327, Validation Accuracy: 0.7960470984020185
Epoch 17, Loss: 0.5711760520935059, Validation Accuracy: 0.8343145500420521
Epoch 18, Loss: 0.5322415828704834, Validation Accuracy: 0.795206055508831
Epoch 19, Loss: 0.5563478469848633, Validation Accuracy: 0.8078216989066442
Epoch 20, Loss: 0.6447329521179199, Validation Accuracy: 0.7682926829268293
Epoch 21, Loss: 0.4782370626926422, Validation Accuracy: 0.8393608074011775
Epoch 22, Loss: 0.6316503286361694, Validation Accuracy: 0.8271656854499579
Epoch 23, Loss: 0.49495410919189453, Validation Accuracy: 0.7973086627417998
Epoch 24, Loss: 0.5046880841255188, Validation Accuracy: 0.6463414634146342
Epoch 25, Loss: 0.4413912296295166, Validation Accuracy: 0.8494533221194281
Epoch 26, Loss: 0.4622613787651062, Validation Accuracy: 0.8149705634987384
Epoch 27, Loss: 0.6360572576522827, Validation Accuracy: 0.8040370058873002
Epoch 28, Loss: 0.5423297882080078, Validation Accuracy: 0.8275862068965517
Epoch 29, Loss: 0.46145033836364746, Validation Accuracy: 0.8427249789739276
Epoch 30, Loss: 0.43955498933792114, Validation Accuracy: 0.8347350714886459
Epoch 31, Loss: 0.39102795720100403, Validation Accuracy: 0.8191757779646762
Epoch 32, Loss: 0.4099922776222229, Validation Accuracy: 0.8280067283431455
Epoch 33, Loss: 0.3885650634765625, Validation Accuracy: 0.8536585365853658
Epoch 34, Loss: 0.3978773057460785, Validation Accuracy: 0.8301093355761143
Epoch 35, Loss: 0.4566883146762848, Validation Accuracy: 0.7506307821698907
