
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.329240322113037, Validation Accuracy: 0.43692178301093354
Epoch 2, Loss: 1.3138982057571411, Validation Accuracy: 0.44112699747687134
Epoch 3, Loss: 1.3527271747589111, Validation Accuracy: 0.4394449116904962
Epoch 4, Loss: 1.1128695011138916, Validation Accuracy: 0.4932716568544996
Epoch 5, Loss: 1.1539363861083984, Validation Accuracy: 0.48654331370899917
Epoch 6, Loss: 1.2313225269317627, Validation Accuracy: 0.5567703952901598
Epoch 7, Loss: 1.0377590656280518, Validation Accuracy: 0.5786375105130361
Epoch 8, Loss: 0.9858799576759338, Validation Accuracy: 0.6223717409587889
Epoch 9, Loss: 1.022689700126648, Validation Accuracy: 0.6513877207737595
Epoch 10, Loss: 1.0197900533676147, Validation Accuracy: 0.6320437342304458
Epoch 11, Loss: 0.8217408657073975, Validation Accuracy: 0.6387720773759462
Epoch 12, Loss: 0.9128950238227844, Validation Accuracy: 0.6875525651808242
Epoch 13, Loss: 0.8821057081222534, Validation Accuracy: 0.6703111858704794
Epoch 14, Loss: 0.7095357179641724, Validation Accuracy: 0.7052144659377628
Epoch 15, Loss: 0.8562700748443604, Validation Accuracy: 0.7228763666947015
Epoch 16, Loss: 0.868649959564209, Validation Accuracy: 0.7409587888982339
Epoch 17, Loss: 0.8688166737556458, Validation Accuracy: 0.7371740958788898
Epoch 18, Loss: 0.7640522718429565, Validation Accuracy: 0.7224558452481077
Epoch 19, Loss: 0.908294677734375, Validation Accuracy: 0.7523128679562657
Epoch 20, Loss: 0.6539326906204224, Validation Accuracy: 0.7060555088309504
Epoch 21, Loss: 0.7153617143630981, Validation Accuracy: 0.6295206055508831
Epoch 22, Loss: 0.6569602489471436, Validation Accuracy: 0.6312026913372581
Epoch 23, Loss: 0.6200928092002869, Validation Accuracy: 0.7846930193439865
Epoch 24, Loss: 0.6350705623626709, Validation Accuracy: 0.691757779646762
Epoch 25, Loss: 0.6318470239639282, Validation Accuracy: 0.780067283431455
Epoch 26, Loss: 0.5680578947067261, Validation Accuracy: 0.7779646761984861
Epoch 27, Loss: 0.5551154613494873, Validation Accuracy: 0.7729184188393609
Epoch 28, Loss: 0.647428572177887, Validation Accuracy: 0.7489486963835156
Epoch 29, Loss: 0.5615271925926208, Validation Accuracy: 0.7792262405382675
Epoch 30, Loss: 0.5855014324188232, Validation Accuracy: 0.6951219512195121
Epoch 31, Loss: 0.5264906883239746, Validation Accuracy: 0.8116063919259883
Epoch 32, Loss: 0.5682061910629272, Validation Accuracy: 0.732968881412952
Epoch 33, Loss: 0.5172373056411743, Validation Accuracy: 0.7178301093355761
Epoch 34, Loss: 0.6730459928512573, Validation Accuracy: 0.6997476871320437
Epoch 35, Loss: 0.5998647212982178, Validation Accuracy: 0.8174936921783011
