
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.2080312967300415, Validation Accuracy: 0.4428090832632464
Epoch 2, Loss: 1.2963144779205322, Validation Accuracy: 0.43650126156433977
Epoch 3, Loss: 1.2592254877090454, Validation Accuracy: 0.46383515559293526
Epoch 4, Loss: 1.1393849849700928, Validation Accuracy: 0.5058873002523129
Epoch 5, Loss: 1.1202354431152344, Validation Accuracy: 0.5180824222035324
Epoch 6, Loss: 1.1168934106826782, Validation Accuracy: 0.5584524810765349
Epoch 7, Loss: 1.1382229328155518, Validation Accuracy: 0.6021867115222876
Epoch 8, Loss: 1.076197862625122, Validation Accuracy: 0.6433978132884777
Epoch 9, Loss: 0.9386167526245117, Validation Accuracy: 0.6471825063078217
Epoch 10, Loss: 0.9787372946739197, Validation Accuracy: 0.63919259882254
Epoch 11, Loss: 0.8085623383522034, Validation Accuracy: 0.6656854499579479
Epoch 12, Loss: 0.8181991577148438, Validation Accuracy: 0.6854499579478553
Epoch 13, Loss: 0.8096809387207031, Validation Accuracy: 0.7132043734230445
Epoch 14, Loss: 0.8448265790939331, Validation Accuracy: 0.624053826745164
Epoch 15, Loss: 0.7366132736206055, Validation Accuracy: 0.7106812447434819
Epoch 16, Loss: 0.7162571549415588, Validation Accuracy: 0.6682085786375105
Epoch 17, Loss: 0.8091614246368408, Validation Accuracy: 0.7388561816652649
Epoch 18, Loss: 0.8623244166374207, Validation Accuracy: 0.6896551724137931
Epoch 19, Loss: 0.774196982383728, Validation Accuracy: 0.7140454163162321
Epoch 20, Loss: 0.7398862838745117, Validation Accuracy: 0.7582001682085786
Epoch 21, Loss: 0.7461594343185425, Validation Accuracy: 0.6997476871320437
Epoch 22, Loss: 0.6307465434074402, Validation Accuracy: 0.7371740958788898
Epoch 23, Loss: 0.7441717386245728, Validation Accuracy: 0.7182506307821699
Epoch 24, Loss: 0.6393221020698547, Validation Accuracy: 0.7615643397813289
Epoch 25, Loss: 0.6478040218353271, Validation Accuracy: 0.7872161480235492
Epoch 26, Loss: 0.611135721206665, Validation Accuracy: 0.7577796467619848
Epoch 27, Loss: 0.6457424163818359, Validation Accuracy: 0.7674516400336417
Epoch 28, Loss: 0.6005634665489197, Validation Accuracy: 0.7813288477712363
Epoch 29, Loss: 0.5008190274238586, Validation Accuracy: 0.5937762825904122
Epoch 30, Loss: 0.5746191740036011, Validation Accuracy: 0.5449957947855341
Epoch 31, Loss: 0.514762282371521, Validation Accuracy: 0.6610597140454163
Epoch 32, Loss: 0.5195099711418152, Validation Accuracy: 0.7190916736753574
Epoch 33, Loss: 0.500963568687439, Validation Accuracy: 0.648444070647603
Epoch 34, Loss: 0.5428605079650879, Validation Accuracy: 0.7640874684608915
Epoch 35, Loss: 0.5403141975402832, Validation Accuracy: 0.7182506307821699
Epoch 36, Loss: 0.4186612069606781, Validation Accuracy: 0.7115222876366695
Epoch 37, Loss: 0.44645076990127563, Validation Accuracy: 0.6501261564339781
