
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.092645287513733, Validation Accuracy: 0.5618166526492852
Epoch 2, Loss: 0.8406503200531006, Validation Accuracy: 0.7169890664423886
Epoch 3, Loss: 0.6906207203865051, Validation Accuracy: 0.7964676198486123
Epoch 4, Loss: 0.6691334843635559, Validation Accuracy: 0.7262405382674516
Epoch 5, Loss: 0.7888479232788086, Validation Accuracy: 0.8015138772077376
Epoch 6, Loss: 0.604313850402832, Validation Accuracy: 0.7998317914213625
Epoch 7, Loss: 0.7457112073898315, Validation Accuracy: 0.7468460891505467
Epoch 8, Loss: 0.7308570742607117, Validation Accuracy: 0.6005046257359126
Epoch 9, Loss: 0.5238586664199829, Validation Accuracy: 0.8650126156433978
Epoch 10, Loss: 0.5280501842498779, Validation Accuracy: 0.847771236333053
Epoch 11, Loss: 0.599854588508606, Validation Accuracy: 0.5323801513877208
Epoch 12, Loss: 0.5948470830917358, Validation Accuracy: 0.7401177460050462
Epoch 13, Loss: 0.48299920558929443, Validation Accuracy: 0.7228763666947015
Epoch 14, Loss: 0.405586302280426, Validation Accuracy: 0.8566021867115223
Epoch 15, Loss: 0.5451743602752686, Validation Accuracy: 0.7220353238015139
Epoch 16, Loss: 0.5156972408294678, Validation Accuracy: 0.8481917577796467
Epoch 17, Loss: 0.39552444219589233, Validation Accuracy: 0.8271656854499579
Epoch 18, Loss: 0.45372360944747925, Validation Accuracy: 0.8528174936921783
Epoch 19, Loss: 0.5564498901367188, Validation Accuracy: 0.7947855340622372
Epoch 20, Loss: 0.6424160003662109, Validation Accuracy: 0.8233809924306139
Epoch 21, Loss: 0.3841225504875183, Validation Accuracy: 0.8553406223717409
Epoch 22, Loss: 0.4837563931941986, Validation Accuracy: 0.8448275862068966
Epoch 23, Loss: 0.4144465923309326, Validation Accuracy: 0.7447434819175778
Epoch 24, Loss: 0.4168846011161804, Validation Accuracy: 0.8595458368376787
Epoch 25, Loss: 0.4898148775100708, Validation Accuracy: 0.8313708999158957
