
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.0164393186569214, Validation Accuracy: 0.5176619007569386
Epoch 2, Loss: 0.7711624503135681, Validation Accuracy: 0.6900756938603869
Epoch 3, Loss: 0.7797884941101074, Validation Accuracy: 0.6627417998317914
Epoch 4, Loss: 1.0195934772491455, Validation Accuracy: 0.7396972245584524
Epoch 5, Loss: 0.6156365275382996, Validation Accuracy: 0.7901597981497056
Epoch 6, Loss: 0.6281742453575134, Validation Accuracy: 0.8019343986543314
Epoch 7, Loss: 0.7459155917167664, Validation Accuracy: 0.7926829268292683
Epoch 8, Loss: 0.7231671214103699, Validation Accuracy: 0.7699747687132044
Epoch 9, Loss: 0.5654122829437256, Validation Accuracy: 0.8170731707317073
Epoch 10, Loss: 0.5572530627250671, Validation Accuracy: 0.8448275862068966
Epoch 11, Loss: 0.504014253616333, Validation Accuracy: 0.7796467619848613
Epoch 12, Loss: 0.48507171869277954, Validation Accuracy: 0.8086627417998318
Epoch 13, Loss: 0.4420085549354553, Validation Accuracy: 0.7922624053826746
Epoch 14, Loss: 0.6317113637924194, Validation Accuracy: 0.8687973086627419
Epoch 15, Loss: 0.5716404914855957, Validation Accuracy: 0.599663582842725
Epoch 16, Loss: 0.6066100001335144, Validation Accuracy: 0.7880571909167368
Epoch 17, Loss: 0.5072682499885559, Validation Accuracy: 0.8679562657695542
Epoch 18, Loss: 0.49913763999938965, Validation Accuracy: 0.851555929352397
Epoch 19, Loss: 0.5952045321464539, Validation Accuracy: 0.780067283431455
Epoch 20, Loss: 0.5131986141204834, Validation Accuracy: 0.836417157275021
Epoch 21, Loss: 0.5244008898735046, Validation Accuracy: 0.8704793944491169
Epoch 22, Loss: 0.4934338331222534, Validation Accuracy: 0.8481917577796467
Epoch 23, Loss: 0.44644099473953247, Validation Accuracy: 0.7872161480235492
Epoch 24, Loss: 0.45063793659210205, Validation Accuracy: 0.7552565180824222
Epoch 25, Loss: 0.48947399854660034, Validation Accuracy: 0.864592094196804
Epoch 26, Loss: 0.5137389898300171, Validation Accuracy: 0.8141295206055509
Epoch 27, Loss: 0.500444233417511, Validation Accuracy: 0.8494533221194281
Epoch 28, Loss: 0.4165756106376648, Validation Accuracy: 0.8179142136248949
Epoch 29, Loss: 0.38684308528900146, Validation Accuracy: 0.8784693019343986
Epoch 30, Loss: 0.4038587808609009, Validation Accuracy: 0.8494533221194281
Epoch 31, Loss: 0.6241188645362854, Validation Accuracy: 0.8183347350714887
Epoch 32, Loss: 0.4798777997493744, Validation Accuracy: 0.8313708999158957
Epoch 33, Loss: 0.4041285514831543, Validation Accuracy: 0.8708999158957107
Epoch 34, Loss: 0.4289982318878174, Validation Accuracy: 0.7102607232968882
Epoch 35, Loss: 0.41765132546424866, Validation Accuracy: 0.8385197645079899
Epoch 36, Loss: 0.382243275642395, Validation Accuracy: 0.8612279226240538
Epoch 37, Loss: 0.40886422991752625, Validation Accuracy: 0.8713204373423045
Epoch 38, Loss: 0.6082115173339844, Validation Accuracy: 0.8305298570227082
Epoch 39, Loss: 0.42808622121810913, Validation Accuracy: 0.8221194280908326
