
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 0.8874809145927429, Validation Accuracy: 0.49369217830109335
Epoch 2, Loss: 0.8480044007301331, Validation Accuracy: 0.7068965517241379
Epoch 3, Loss: 0.7316505312919617, Validation Accuracy: 0.7275021026072329
Epoch 4, Loss: 0.6612821817398071, Validation Accuracy: 0.7485281749369218
Epoch 5, Loss: 0.6729455590248108, Validation Accuracy: 0.8069806560134567
Epoch 6, Loss: 0.661903977394104, Validation Accuracy: 0.8372582001682086
Epoch 7, Loss: 0.535095751285553, Validation Accuracy: 0.7447434819175778
Epoch 8, Loss: 0.6299217939376831, Validation Accuracy: 0.7901597981497056
Epoch 9, Loss: 0.5400934219360352, Validation Accuracy: 0.8254835996635829
Epoch 10, Loss: 0.6583832502365112, Validation Accuracy: 0.8599663582842725
Epoch 11, Loss: 0.5977861881256104, Validation Accuracy: 0.8216989066442388
Epoch 12, Loss: 0.5187464952468872, Validation Accuracy: 0.8305298570227082
Epoch 13, Loss: 0.5031026601791382, Validation Accuracy: 0.8187552565180825
Epoch 14, Loss: 0.6134886145591736, Validation Accuracy: 0.815811606391926
Epoch 15, Loss: 0.5378285646438599, Validation Accuracy: 0.7014297729184188
Epoch 16, Loss: 0.4927597641944885, Validation Accuracy: 0.7304457527333894
Epoch 17, Loss: 0.46983253955841064, Validation Accuracy: 0.8692178301093356
Epoch 18, Loss: 0.5107592344284058, Validation Accuracy: 0.8561816652649286
Epoch 19, Loss: 0.5718783736228943, Validation Accuracy: 0.767031118587048
Epoch 20, Loss: 0.42291224002838135, Validation Accuracy: 0.8557611438183347
Epoch 21, Loss: 0.43939054012298584, Validation Accuracy: 0.847771236333053
Epoch 22, Loss: 0.46324411034584045, Validation Accuracy: 0.8868797308662741
Epoch 23, Loss: 0.4908530116081238, Validation Accuracy: 0.8418839360807401
Epoch 24, Loss: 0.3999672532081604, Validation Accuracy: 0.8633305298570227
Epoch 25, Loss: 0.4062964916229248, Validation Accuracy: 0.8149705634987384
Epoch 26, Loss: 0.5691298246383667, Validation Accuracy: 0.8460891505466779
Epoch 27, Loss: 0.4876594841480255, Validation Accuracy: 0.8469301934398654
Epoch 28, Loss: 0.4671272039413452, Validation Accuracy: 0.8570227081581161
Epoch 29, Loss: 0.49026304483413696, Validation Accuracy: 0.8772077375946173
Epoch 30, Loss: 0.49690383672714233, Validation Accuracy: 0.8351555929352397
Epoch 31, Loss: 0.4143221974372864, Validation Accuracy: 0.830950378469302
Epoch 32, Loss: 0.4463191032409668, Validation Accuracy: 0.8238015138772078
Epoch 33, Loss: 0.3862110376358032, Validation Accuracy: 0.8847771236333053
Epoch 34, Loss: 0.4113442599773407, Validation Accuracy: 0.8065601345668629
Epoch 35, Loss: 0.4287532567977905, Validation Accuracy: 0.8246425567703953
Epoch 36, Loss: 0.5112253427505493, Validation Accuracy: 0.872161480235492
Epoch 37, Loss: 0.39281022548675537, Validation Accuracy: 0.8936080740117746
Epoch 38, Loss: 0.42061108350753784, Validation Accuracy: 0.8582842724978974
Epoch 39, Loss: 0.4102354347705841, Validation Accuracy: 0.8540790580319596
Epoch 40, Loss: 0.39559122920036316, Validation Accuracy: 0.8486122792262405
Epoch 41, Loss: 0.44138461351394653, Validation Accuracy: 0.8898233809924306
Epoch 42, Loss: 0.42540308833122253, Validation Accuracy: 0.7342304457527334
Epoch 43, Loss: 0.4943842887878418, Validation Accuracy: 0.830950378469302
Epoch 44, Loss: 0.38107240200042725, Validation Accuracy: 0.81959629941127
Epoch 45, Loss: 0.43461984395980835, Validation Accuracy: 0.8906644238856182
Epoch 46, Loss: 0.42787837982177734, Validation Accuracy: 0.7754415475189235
Epoch 47, Loss: 0.39666077494621277, Validation Accuracy: 0.8582842724978974
Epoch 48, Loss: 0.40447133779525757, Validation Accuracy: 0.8864592094196804
Epoch 49, Loss: 0.5662099719047546, Validation Accuracy: 0.8885618166526493
Epoch 50, Loss: 0.38630732893943787, Validation Accuracy: 0.8532380151387721
Epoch 51, Loss: 0.4266960620880127, Validation Accuracy: 0.8612279226240538
Epoch 52, Loss: 0.3944469094276428, Validation Accuracy: 0.8734230445752733
Epoch 53, Loss: 0.4415488839149475, Validation Accuracy: 0.8864592094196804
Epoch 54, Loss: 0.3815155625343323, Validation Accuracy: 0.6265769554247267
Epoch 55, Loss: 0.4083494246006012, Validation Accuracy: 0.7817493692178301
Epoch 56, Loss: 0.4720108211040497, Validation Accuracy: 0.8843566021867115
Epoch 57, Loss: 0.4703230857849121, Validation Accuracy: 0.8860386879730866
Epoch 58, Loss: 0.39180731773376465, Validation Accuracy: 0.8818334735071489
Epoch 59, Loss: 0.4899369478225708, Validation Accuracy: 0.7737594617325484
Epoch 60, Loss: 0.394651859998703, Validation Accuracy: 0.8772077375946173
Epoch 61, Loss: 0.37403613328933716, Validation Accuracy: 0.8734230445752733
Epoch 62, Loss: 0.43679606914520264, Validation Accuracy: 0.8637510513036165
Epoch 63, Loss: 0.42668426036834717, Validation Accuracy: 0.8359966358284272
Epoch 64, Loss: 0.40962937474250793, Validation Accuracy: 0.8809924306139613
Epoch 65, Loss: 0.3736456334590912, Validation Accuracy: 0.86080740117746
Epoch 66, Loss: 0.3868423104286194, Validation Accuracy: 0.8717409587888982
Epoch 67, Loss: 0.38055843114852905, Validation Accuracy: 0.8822539949537427
Epoch 68, Loss: 0.3918952941894531, Validation Accuracy: 0.883515559293524
Epoch 69, Loss: 0.41284698247909546, Validation Accuracy: 0.8814129520605551
Epoch 70, Loss: 0.39588600397109985, Validation Accuracy: 0.7203532380151387
Epoch 71, Loss: 0.39302316308021545, Validation Accuracy: 0.8679562657695542
Epoch 72, Loss: 0.3734932839870453, Validation Accuracy: 0.8894028595458369
Epoch 73, Loss: 0.41537195444107056, Validation Accuracy: 0.8843566021867115
Epoch 74, Loss: 0.3841646909713745, Validation Accuracy: 0.8111858704793945
Epoch 75, Loss: 0.371002197265625, Validation Accuracy: 0.8019343986543314
Epoch 76, Loss: 0.38888564705848694, Validation Accuracy: 0.8978132884777124
Epoch 77, Loss: 0.4293220639228821, Validation Accuracy: 0.8830950378469302
Epoch 78, Loss: 0.4078434407711029, Validation Accuracy: 0.8448275862068966
Epoch 79, Loss: 0.37651801109313965, Validation Accuracy: 0.8734230445752733
Epoch 80, Loss: 0.39560666680336, Validation Accuracy: 0.8931875525651808
Epoch 81, Loss: 0.40086600184440613, Validation Accuracy: 0.8654331370899916
Epoch 82, Loss: 0.3868386149406433, Validation Accuracy: 0.8717409587888982
Epoch 83, Loss: 0.3729378879070282, Validation Accuracy: 0.8620689655172413
Epoch 84, Loss: 0.4315851032733917, Validation Accuracy: 0.8919259882253995
Epoch 85, Loss: 0.3971213698387146, Validation Accuracy: 0.8200168208578638
Epoch 86, Loss: 0.39784377813339233, Validation Accuracy: 0.7918418839360808
Epoch 87, Loss: 0.4019528925418854, Validation Accuracy: 0.8851976450798991
Epoch 88, Loss: 0.37125372886657715, Validation Accuracy: 0.8809924306139613
Epoch 89, Loss: 0.3962942957878113, Validation Accuracy: 0.8809924306139613
Epoch 90, Loss: 0.3925867974758148, Validation Accuracy: 0.8355761143818334
Epoch 91, Loss: 0.37388336658477783, Validation Accuracy: 0.9011774600504626
Epoch 92, Loss: 0.3724066913127899, Validation Accuracy: 0.8885618166526493
Epoch 93, Loss: 0.37887734174728394, Validation Accuracy: 0.8809924306139613
Epoch 94, Loss: 0.3795038163661957, Validation Accuracy: 0.8549201009251471
Epoch 95, Loss: 0.4318198263645172, Validation Accuracy: 0.8772077375946173
Epoch 96, Loss: 0.3692411780357361, Validation Accuracy: 0.8910849453322119
Epoch 97, Loss: 0.3935708999633789, Validation Accuracy: 0.8591253153910849
Epoch 98, Loss: 0.4357256293296814, Validation Accuracy: 0.8271656854499579
Epoch 99, Loss: 0.39451706409454346, Validation Accuracy: 0.8851976450798991
Epoch 100, Loss: 0.36835336685180664, Validation Accuracy: 0.8990748528174937
Model state dictionary saved.


Predicting: 100%|██████████| 39/39 [00:04<00:00,  9.61it/s]
Test predictions saved as CSV.
