
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.1074862480163574, Validation Accuracy: 0.308242220353238
Epoch 2, Loss: 0.7216472029685974, Validation Accuracy: 0.6968040370058873
Epoch 3, Loss: 0.8136018514633179, Validation Accuracy: 0.7464255677039529
Epoch 4, Loss: 0.8496631383895874, Validation Accuracy: 0.695542472666106
Epoch 5, Loss: 0.7659524083137512, Validation Accuracy: 0.7943650126156434
Epoch 6, Loss: 0.6810181140899658, Validation Accuracy: 0.7733389402859546
Epoch 7, Loss: 0.8631620407104492, Validation Accuracy: 0.8074011774600505
Epoch 8, Loss: 0.8388173580169678, Validation Accuracy: 0.7333894028595458
Epoch 9, Loss: 0.6630445122718811, Validation Accuracy: 0.8212783851976451
Epoch 10, Loss: 0.6737414598464966, Validation Accuracy: 0.8250630782169891
Epoch 11, Loss: 0.5239720344543457, Validation Accuracy: 0.7354920100925147
Epoch 12, Loss: 0.5711606740951538, Validation Accuracy: 0.7447434819175778
Epoch 13, Loss: 0.6231752038002014, Validation Accuracy: 0.8254835996635829
Epoch 14, Loss: 0.634620726108551, Validation Accuracy: 0.836417157275021
Epoch 15, Loss: 0.4832918047904968, Validation Accuracy: 0.7910008410428931
Epoch 16, Loss: 0.7400304079055786, Validation Accuracy: 0.8267451640033642
Epoch 17, Loss: 0.5369724035263062, Validation Accuracy: 0.8242220353238016
Epoch 18, Loss: 0.5005431175231934, Validation Accuracy: 0.8624894869638352
Epoch 19, Loss: 0.6966359615325928, Validation Accuracy: 0.8052985702270816
Epoch 20, Loss: 0.4949434995651245, Validation Accuracy: 0.8473507148864592
Epoch 21, Loss: 0.48446357250213623, Validation Accuracy: 0.8225399495374264
Epoch 22, Loss: 0.4487708806991577, Validation Accuracy: 0.8641715727502103
Epoch 23, Loss: 0.5639042258262634, Validation Accuracy: 0.5988225399495374
Epoch 24, Loss: 0.49611330032348633, Validation Accuracy: 0.8074011774600505
Epoch 25, Loss: 0.49714434146881104, Validation Accuracy: 0.8654331370899916
Epoch 26, Loss: 0.5191892981529236, Validation Accuracy: 0.8187552565180825
Epoch 27, Loss: 0.5347243547439575, Validation Accuracy: 0.7985702270815812
Epoch 28, Loss: 0.4423494338989258, Validation Accuracy: 0.8566021867115223
Epoch 29, Loss: 0.37888309359550476, Validation Accuracy: 0.8595458368376787
Epoch 30, Loss: 0.44568413496017456, Validation Accuracy: 0.8191757779646762
Epoch 31, Loss: 0.51084303855896, Validation Accuracy: 0.7750210260723297
Epoch 32, Loss: 0.47801685333251953, Validation Accuracy: 0.8465096719932717
Epoch 33, Loss: 0.4291430711746216, Validation Accuracy: 0.8578637510513036
Epoch 34, Loss: 0.5321671366691589, Validation Accuracy: 0.8523969722455845
Epoch 35, Loss: 0.4937514066696167, Validation Accuracy: 0.744322960470984
Epoch 36, Loss: 0.46099987626075745, Validation Accuracy: 0.798990748528175
Epoch 37, Loss: 0.3884851634502411, Validation Accuracy: 0.8654331370899916
Epoch 38, Loss: 0.4497876763343811, Validation Accuracy: 0.8031959629941127
Epoch 39, Loss: 0.4052312970161438, Validation Accuracy: 0.8229604709840201
Epoch 40, Loss: 0.464335560798645, Validation Accuracy: 0.8751051303616485
Epoch 41, Loss: 0.3923831582069397, Validation Accuracy: 0.8704793944491169
Epoch 42, Loss: 0.438058078289032, Validation Accuracy: 0.7973086627417998
Epoch 43, Loss: 0.4148176908493042, Validation Accuracy: 0.7598822539949538
Epoch 44, Loss: 0.38138556480407715, Validation Accuracy: 0.862910008410429
Epoch 45, Loss: 0.41578856110572815, Validation Accuracy: 0.8696383515559294
Epoch 46, Loss: 0.4712252616882324, Validation Accuracy: 0.8275862068965517
Epoch 47, Loss: 0.5102072954177856, Validation Accuracy: 0.8208578637510513
Epoch 48, Loss: 0.384475976228714, Validation Accuracy: 0.8784693019343986
Epoch 49, Loss: 0.5213949680328369, Validation Accuracy: 0.8763666947014298
Epoch 50, Loss: 0.4625866413116455, Validation Accuracy: 0.832632464255677
Epoch 51, Loss: 0.3886636197566986, Validation Accuracy: 0.7733389402859546
Epoch 52, Loss: 0.4966673254966736, Validation Accuracy: 0.8507148864592095
Epoch 53, Loss: 0.5130741596221924, Validation Accuracy: 0.868376787216148
Epoch 54, Loss: 0.4062076508998871, Validation Accuracy: 0.8301093355761143
Epoch 55, Loss: 0.43085962533950806, Validation Accuracy: 0.8330529857022708
Epoch 56, Loss: 0.46552520990371704, Validation Accuracy: 0.8641715727502103
Epoch 57, Loss: 0.4158020615577698, Validation Accuracy: 0.8700588730025232
Epoch 58, Loss: 0.4135476350784302, Validation Accuracy: 0.8486122792262405
