
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.1725411415100098, Validation Accuracy: 0.5058873002523129
Epoch 2, Loss: 1.006272315979004, Validation Accuracy: 0.6068124474348192
Epoch 3, Loss: 1.1859828233718872, Validation Accuracy: 0.6576955424726662
Epoch 4, Loss: 0.876764178276062, Validation Accuracy: 0.5475189234650967
Epoch 5, Loss: 0.8351964950561523, Validation Accuracy: 0.7401177460050462
Epoch 6, Loss: 0.7096287608146667, Validation Accuracy: 0.7846930193439865
Epoch 7, Loss: 0.8561434745788574, Validation Accuracy: 0.6850294365012616
Epoch 8, Loss: 0.6687217950820923, Validation Accuracy: 0.7388561816652649
Epoch 9, Loss: 0.582528829574585, Validation Accuracy: 0.8174936921783011
Epoch 10, Loss: 0.5517855882644653, Validation Accuracy: 0.804457527333894
Epoch 11, Loss: 0.5940687656402588, Validation Accuracy: 0.8149705634987384
Epoch 12, Loss: 0.5084994435310364, Validation Accuracy: 0.6904962153069807
Epoch 13, Loss: 0.521632194519043, Validation Accuracy: 0.8393608074011775
Epoch 14, Loss: 0.5771688222885132, Validation Accuracy: 0.8523969722455845
Epoch 15, Loss: 0.6168691515922546, Validation Accuracy: 0.7640874684608915
Epoch 16, Loss: 0.4808146059513092, Validation Accuracy: 0.7653490328006728
Epoch 17, Loss: 0.49051475524902344, Validation Accuracy: 0.8587047939444912
Epoch 18, Loss: 0.5085642337799072, Validation Accuracy: 0.8532380151387721
Epoch 19, Loss: 0.49829140305519104, Validation Accuracy: 0.7695542472666106
Epoch 20, Loss: 0.4007086753845215, Validation Accuracy: 0.8465096719932717
Epoch 21, Loss: 0.4146971106529236, Validation Accuracy: 0.872161480235492
Epoch 22, Loss: 0.4097466468811035, Validation Accuracy: 0.8637510513036165
Epoch 23, Loss: 0.4804481267929077, Validation Accuracy: 0.8069806560134567
Epoch 24, Loss: 0.4059930741786957, Validation Accuracy: 0.767031118587048
Epoch 25, Loss: 0.3963642716407776, Validation Accuracy: 0.8675357443229604
Epoch 26, Loss: 0.4343171715736389, Validation Accuracy: 0.8679562657695542
Epoch 27, Loss: 0.40961357951164246, Validation Accuracy: 0.864592094196804
Epoch 28, Loss: 0.44259896874427795, Validation Accuracy: 0.8700588730025232
Epoch 29, Loss: 0.4815136790275574, Validation Accuracy: 0.8767872161480236
Epoch 30, Loss: 0.386923611164093, Validation Accuracy: 0.8742640874684608
Epoch 31, Loss: 0.45350268483161926, Validation Accuracy: 0.8414634146341463
Epoch 32, Loss: 0.37853503227233887, Validation Accuracy: 0.8540790580319596
Epoch 33, Loss: 0.47817230224609375, Validation Accuracy: 0.8805719091673675
Epoch 34, Loss: 0.4063177704811096, Validation Accuracy: 0.8717409587888982
Epoch 35, Loss: 0.4313545823097229, Validation Accuracy: 0.7943650126156434
Epoch 36, Loss: 0.4044228196144104, Validation Accuracy: 0.8536585365853658
Epoch 37, Loss: 0.4494481682777405, Validation Accuracy: 0.8805719091673675
Epoch 38, Loss: 0.48900383710861206, Validation Accuracy: 0.8700588730025232
Epoch 39, Loss: 0.42634737491607666, Validation Accuracy: 0.8696383515559294
Epoch 40, Loss: 0.3786945641040802, Validation Accuracy: 0.8784693019343986
Epoch 41, Loss: 0.3819921314716339, Validation Accuracy: 0.8776282590412111
Epoch 42, Loss: 0.3831118047237396, Validation Accuracy: 0.8624894869638352
Epoch 43, Loss: 0.4072968363761902, Validation Accuracy: 0.8696383515559294
Epoch 44, Loss: 0.4563804864883423, Validation Accuracy: 0.8780487804878049
Epoch 45, Loss: 0.42011594772338867, Validation Accuracy: 0.8801513877207737
Epoch 46, Loss: 0.4347146153450012, Validation Accuracy: 0.8730025231286795
Epoch 47, Loss: 0.3890610337257385, Validation Accuracy: 0.8742640874684608
Epoch 48, Loss: 0.38809043169021606, Validation Accuracy: 0.875946173254836
Epoch 49, Loss: 0.3681584894657135, Validation Accuracy: 0.8767872161480236
Epoch 50, Loss: 0.4046004116535187, Validation Accuracy: 0.8738435660218671
Epoch 51, Loss: 0.4481825530529022, Validation Accuracy: 0.8624894869638352
Epoch 52, Loss: 0.3767414689064026, Validation Accuracy: 0.8814129520605551
Epoch 53, Loss: 0.3760485053062439, Validation Accuracy: 0.8919259882253995
Epoch 54, Loss: 0.4265795350074768, Validation Accuracy: 0.8906644238856182
Epoch 55, Loss: 0.41071343421936035, Validation Accuracy: 0.8427249789739276
Epoch 56, Loss: 0.4004567861557007, Validation Accuracy: 0.8894028595458369
