
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.287361979484558, Validation Accuracy: 0.43355761143818333
Epoch 2, Loss: 1.3962466716766357, Validation Accuracy: 0.43523969722455846
Epoch 3, Loss: 1.275834083557129, Validation Accuracy: 0.4348191757779647
Epoch 4, Loss: 1.191975474357605, Validation Accuracy: 0.43523969722455846
Epoch 5, Loss: 1.1943614482879639, Validation Accuracy: 0.4348191757779647
Epoch 6, Loss: 1.22556471824646, Validation Accuracy: 0.4343986543313709
Epoch 7, Loss: 1.406831979751587, Validation Accuracy: 0.43523969722455846
Epoch 8, Loss: 1.131517767906189, Validation Accuracy: 0.43355761143818333
Epoch 9, Loss: 1.3417657613754272, Validation Accuracy: 0.436080740117746
Epoch 10, Loss: 1.3602237701416016, Validation Accuracy: 0.4373423044575273
Epoch 11, Loss: 1.3553837537765503, Validation Accuracy: 0.43650126156433977
Epoch 12, Loss: 1.3001742362976074, Validation Accuracy: 0.43566021867115223
Epoch 13, Loss: 1.3526620864868164, Validation Accuracy: 0.436080740117746
Epoch 14, Loss: 1.2511488199234009, Validation Accuracy: 0.4343986543313709
Epoch 15, Loss: 1.3611360788345337, Validation Accuracy: 0.4348191757779647
Epoch 16, Loss: 1.3191088438034058, Validation Accuracy: 0.4339781328847771
Epoch 17, Loss: 1.3091758489608765, Validation Accuracy: 0.4343986543313709
Epoch 18, Loss: 1.2159103155136108, Validation Accuracy: 0.43566021867115223
Epoch 19, Loss: 1.3692114353179932, Validation Accuracy: 0.43313708999158956
Epoch 20, Loss: 1.4005616903305054, Validation Accuracy: 0.4339781328847771
Epoch 21, Loss: 1.1591198444366455, Validation Accuracy: 0.4339781328847771
Epoch 22, Loss: 1.3619991540908813, Validation Accuracy: 0.4348191757779647
Epoch 23, Loss: 1.3077657222747803, Validation Accuracy: 0.4343986543313709
Epoch 24, Loss: 1.1770292520523071, Validation Accuracy: 0.4343986543313709
Epoch 25, Loss: 1.1763944625854492, Validation Accuracy: 0.43523969722455846
Epoch 26, Loss: 1.3415820598602295, Validation Accuracy: 0.43523969722455846
Epoch 27, Loss: 1.2250862121582031, Validation Accuracy: 0.43523969722455846
Epoch 28, Loss: 1.3713421821594238, Validation Accuracy: 0.4339781328847771
Epoch 29, Loss: 1.3733686208724976, Validation Accuracy: 0.43313708999158956
Epoch 30, Loss: 1.238461971282959, Validation Accuracy: 0.436080740117746
Epoch 31, Loss: 1.2366678714752197, Validation Accuracy: 0.4339781328847771
Epoch 32, Loss: 1.2712708711624146, Validation Accuracy: 0.4339781328847771
Epoch 33, Loss: 1.3476636409759521, Validation Accuracy: 0.43650126156433977
Epoch 34, Loss: 1.3785631656646729, Validation Accuracy: 0.4343986543313709
Epoch 35, Loss: 1.1896097660064697, Validation Accuracy: 0.43355761143818333
Epoch 36, Loss: 1.1887147426605225, Validation Accuracy: 0.436080740117746
Epoch 37, Loss: 1.2709697484970093, Validation Accuracy: 0.4343986543313709
Epoch 38, Loss: 1.29086434841156, Validation Accuracy: 0.4373423044575273
Epoch 39, Loss: 1.346746563911438, Validation Accuracy: 0.436080740117746
Epoch 40, Loss: 1.3179928064346313, Validation Accuracy: 0.436080740117746
Epoch 41, Loss: 1.3016129732131958, Validation Accuracy: 0.4339781328847771
Epoch 42, Loss: 1.2967960834503174, Validation Accuracy: 0.43566021867115223
Epoch 43, Loss: 1.2856872081756592, Validation Accuracy: 0.4348191757779647
Epoch 44, Loss: 1.3181145191192627, Validation Accuracy: 0.43355761143818333
Epoch 45, Loss: 1.4195246696472168, Validation Accuracy: 0.4339781328847771
Epoch 46, Loss: 1.2848321199417114, Validation Accuracy: 0.436080740117746
Epoch 47, Loss: 1.2347538471221924, Validation Accuracy: 0.4348191757779647
Epoch 48, Loss: 1.208597183227539, Validation Accuracy: 0.4339781328847771
Epoch 49, Loss: 1.301170825958252, Validation Accuracy: 0.4343986543313709
Epoch 50, Loss: 1.3975613117218018, Validation Accuracy: 0.4339781328847771
Epoch 51, Loss: 1.1961915493011475, Validation Accuracy: 0.4339781328847771
Epoch 52, Loss: 1.3870511054992676, Validation Accuracy: 0.4343986543313709
Epoch 53, Loss: 1.3913956880569458, Validation Accuracy: 0.43566021867115223
Epoch 54, Loss: 1.1926345825195312, Validation Accuracy: 0.43355761143818333
Epoch 55, Loss: 1.270081639289856, Validation Accuracy: 0.43355761143818333
Epoch 56, Loss: 1.3714053630828857, Validation Accuracy: 0.43355761143818333
Epoch 57, Loss: 1.305943489074707, Validation Accuracy: 0.43313708999158956
