
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Extracted contents to /scratch/hy2611/ML_Competition/dataset
Epoch 1, Loss: 1.4399831295013428, Validation Accuracy: 0.4428090832632464
Epoch 2, Loss: 1.305594801902771, Validation Accuracy: 0.4381833473507149
Epoch 3, Loss: 1.195020318031311, Validation Accuracy: 0.468040370058873
Epoch 4, Loss: 1.225057601928711, Validation Accuracy: 0.49243061396131205
Epoch 5, Loss: 1.2039945125579834, Validation Accuracy: 0.5361648444070648
Epoch 6, Loss: 1.105399489402771, Validation Accuracy: 0.5487804878048781
Epoch 7, Loss: 0.8658103346824646, Validation Accuracy: 0.616484440706476
Epoch 8, Loss: 1.0735076665878296, Validation Accuracy: 0.6682085786375105
Epoch 9, Loss: 0.9761509895324707, Validation Accuracy: 0.6888141295206055
Epoch 10, Loss: 0.657085657119751, Validation Accuracy: 0.6833473507148865
Epoch 11, Loss: 0.7936381101608276, Validation Accuracy: 0.6888141295206055
Epoch 12, Loss: 0.8656842708587646, Validation Accuracy: 0.5962994112699748
Epoch 13, Loss: 0.7820962071418762, Validation Accuracy: 0.6728343145500421
Epoch 14, Loss: 0.8494262099266052, Validation Accuracy: 0.7228763666947015
Epoch 15, Loss: 0.6927117705345154, Validation Accuracy: 0.763246425567704
Epoch 16, Loss: 0.5347748398780823, Validation Accuracy: 0.6648444070647603
Epoch 17, Loss: 0.9172717332839966, Validation Accuracy: 0.7535744322960471
Epoch 18, Loss: 0.6698011755943298, Validation Accuracy: 0.7863751051303617
Epoch 19, Loss: 0.5675714015960693, Validation Accuracy: 0.7888982338099243
Epoch 20, Loss: 0.5633180737495422, Validation Accuracy: 0.80067283431455
Epoch 21, Loss: 0.5974874496459961, Validation Accuracy: 0.804457527333894
Epoch 22, Loss: 0.5222436189651489, Validation Accuracy: 0.7897392767031118
Epoch 23, Loss: 0.5680844783782959, Validation Accuracy: 0.6244743481917577
Epoch 24, Loss: 0.47500574588775635, Validation Accuracy: 0.6997476871320437
Epoch 25, Loss: 0.5327844619750977, Validation Accuracy: 0.691757779646762
Epoch 26, Loss: 0.4359388053417206, Validation Accuracy: 0.8086627417998318
Epoch 27, Loss: 0.44586434960365295, Validation Accuracy: 0.8124474348191758
Epoch 28, Loss: 0.48847877979278564, Validation Accuracy: 0.7317073170731707
Epoch 29, Loss: 0.4482528567314148, Validation Accuracy: 0.6135407905803196
Epoch 30, Loss: 0.39767956733703613, Validation Accuracy: 0.7401177460050462
Epoch 31, Loss: 0.5088995695114136, Validation Accuracy: 0.7186711522287637
Epoch 32, Loss: 0.46639958024024963, Validation Accuracy: 0.808242220353238
Epoch 33, Loss: 0.4287406802177429, Validation Accuracy: 0.7098402018502944
Epoch 34, Loss: 0.3940325975418091, Validation Accuracy: 0.7750210260723297
Epoch 35, Loss: 0.45067036151885986, Validation Accuracy: 0.8216989066442388
Epoch 36, Loss: 0.48564088344573975, Validation Accuracy: 0.8015138772077376
Epoch 37, Loss: 0.41921311616897583, Validation Accuracy: 0.8086627417998318
Epoch 38, Loss: 0.4466041326522827, Validation Accuracy: 0.8246425567703953
Epoch 39, Loss: 0.4067855775356293, Validation Accuracy: 0.7207737594617325
Epoch 40, Loss: 0.43487346172332764, Validation Accuracy: 0.8435660218671153
Epoch 41, Loss: 0.6171396374702454, Validation Accuracy: 0.7068965517241379
Epoch 42, Loss: 0.4618474245071411, Validation Accuracy: 0.7943650126156434
Epoch 43, Loss: 0.4875987768173218, Validation Accuracy: 0.8292682926829268
Epoch 44, Loss: 0.4510008692741394, Validation Accuracy: 0.7527333894028595
Epoch 45, Loss: 0.4315530061721802, Validation Accuracy: 0.8448275862068966
Epoch 46, Loss: 0.412750780582428, Validation Accuracy: 0.8473507148864592
Epoch 47, Loss: 0.39452821016311646, Validation Accuracy: 0.8343145500420521
Epoch 48, Loss: 0.421637624502182, Validation Accuracy: 0.7910008410428931
Epoch 49, Loss: 0.3961719870567322, Validation Accuracy: 0.8406223717409588
Epoch 50, Loss: 0.3943674862384796, Validation Accuracy: 0.8187552565180825
Epoch 51, Loss: 0.3854079246520996, Validation Accuracy: 0.832632464255677
Epoch 52, Loss: 0.3966640532016754, Validation Accuracy: 0.8469301934398654
Epoch 53, Loss: 0.40001776814460754, Validation Accuracy: 0.8322119428090833
Epoch 54, Loss: 0.4983018636703491, Validation Accuracy: 0.8389402859545837
